image_name,sam2_masks,gt_masks,correctly_identified (%)
80.jpg,70,130,53.84615384615385
52.jpg,60,96,62.5
24.jpg,136,150,90.66666666666666
75.jpg,114,150,76.0
78.jpg,114,150,76.0
50.jpg,98,130,75.38461538461539
22.jpg,43,78,55.12820512820513
73.jpg,31,78,39.743589743589745
45.jpg,148,150,98.66666666666667
17.jpg,91,128,71.09375
76.jpg,30,78,38.46153846153847
48.jpg,146,150,97.33333333333334
6.jpg,90,143,62.93706293706294
71.jpg,64,130,49.23076923076923
43.jpg,24,96,25.0
15.jpg,0,108,0.0
69.jpg,84,150,56.00000000000001
1.jpg,39,72,54.166666666666664
10.jpg,25,72,34.72222222222222
41.jpg,27,128,21.09375
13.jpg,22,24,91.66666666666666
64.jpg,47,96,48.95833333333333
36.jpg,101,150,67.33333333333333
67.jpg,26,96,27.083333333333332
39.jpg,25,150,16.666666666666664
62.jpg,67,130,51.53846153846153
34.jpg,48,96,50.0
4.jpg,43,72,59.72222222222222
60.jpg,136,150,90.66666666666666
32.jpg,76,128,59.375
55.jpg,58,96,60.416666666666664
27.jpg,138,150,92.0
58.jpg,60,96,62.5
30.jpg,133,150,88.66666666666667
81.jpg,116,150,77.33333333333333
53.jpg,94,130,72.3076923076923
25.jpg,52,96,54.166666666666664
79.jpg,38,96,39.58333333333333
7.jpg,31,72,43.05555555555556
8.jpg,27,108,25.0
20.jpg,89,128,69.53125
51.jpg,142,150,94.66666666666667
23.jpg,71,128,55.46875
74.jpg,74,130,56.92307692307692
46.jpg,49,87,56.32183908045977
18.jpg,140,150,93.33333333333333
77.jpg,70,130,53.84615384615385
49.jpg,47,87,54.02298850574713
2.jpg,65,114,57.01754385964912
21.jpg,140,150,93.33333333333333
72.jpg,116,150,77.33333333333333
44.jpg,103,130,79.23076923076923
16.jpg,17,60,28.333333333333332
47.jpg,99,130,76.15384615384615
19.jpg,43,78,55.12820512820513
11.jpg,16,108,14.814814814814813
70.jpg,25,96,26.041666666666668
42.jpg,35,150,23.333333333333332
14.jpg,18,72,25.0
65.jpg,43,130,33.07692307692307
37.jpg,34,96,35.41666666666667
68.jpg,39,130,30.0
5.jpg,54,108,50.0
40.jpg,24,96,25.0
12.jpg,0,108,0.0
63.jpg,114,150,76.0
35.jpg,51,128,39.84375
66.jpg,89,150,59.333333333333336
38.jpg,28,128,21.875
61.jpg,51,96,53.125
33.jpg,123,150,82.0
56.jpg,91,130,70.0
28.jpg,51,96,53.125
59.jpg,89,130,68.46153846153847
9.jpg,37,143,25.874125874125873
31.jpg,54,96,56.25
54.jpg,144,150,96.0
26.jpg,85,128,66.40625
57.jpg,140,150,93.33333333333333
29.jpg,85,128,66.40625
3.jpg,104,143,72.72727272727273
average,,,56.54449715548153
