image_name,sam2_masks,gt_masks,correctly_identified (%)
80.jpg,52,130,40.0
52.jpg,76,96,79.16666666666666
24.jpg,118,150,78.66666666666666
75.jpg,70,150,46.666666666666664
78.jpg,71,150,47.333333333333336
50.jpg,111,130,85.38461538461539
22.jpg,40,78,51.28205128205128
73.jpg,30,78,38.46153846153847
45.jpg,142,150,94.66666666666667
17.jpg,95,128,74.21875
76.jpg,30,78,38.46153846153847
48.jpg,141,150,94.0
6.jpg,45,143,31.46853146853147
71.jpg,45,130,34.61538461538461
43.jpg,10,96,10.416666666666668
15.jpg,0,108,0.0
69.jpg,66,150,44.0
1.jpg,42,72,58.333333333333336
10.jpg,20,72,27.77777777777778
41.jpg,18,128,14.0625
13.jpg,1,24,4.166666666666666
64.jpg,48,96,50.0
36.jpg,61,150,40.666666666666664
67.jpg,35,96,36.45833333333333
39.jpg,4,150,2.666666666666667
62.jpg,76,130,58.46153846153847
34.jpg,43,96,44.79166666666667
4.jpg,44,72,61.111111111111114
60.jpg,126,150,84.0
32.jpg,72,128,56.25
55.jpg,74,96,77.08333333333334
27.jpg,116,150,77.33333333333333
58.jpg,73,96,76.04166666666666
30.jpg,113,150,75.33333333333333
81.jpg,79,150,52.666666666666664
53.jpg,110,130,84.61538461538461
25.jpg,57,96,59.375
79.jpg,41,96,42.70833333333333
7.jpg,26,72,36.11111111111111
8.jpg,9,108,8.333333333333332
20.jpg,92,128,71.875
51.jpg,142,150,94.66666666666667
23.jpg,54,128,42.1875
74.jpg,51,130,39.23076923076923
46.jpg,54,87,62.06896551724138
18.jpg,122,150,81.33333333333333
77.jpg,57,130,43.84615384615385
49.jpg,54,87,62.06896551724138
2.jpg,50,114,43.859649122807014
21.jpg,126,150,84.0
72.jpg,66,150,44.0
44.jpg,109,130,83.84615384615385
16.jpg,0,60,0.0
47.jpg,110,130,84.61538461538461
19.jpg,40,78,51.28205128205128
11.jpg,0,108,0.0
70.jpg,32,96,33.33333333333333
42.jpg,1,150,0.6666666666666667
14.jpg,0,72,0.0
65.jpg,51,130,39.23076923076923
37.jpg,33,96,34.375
68.jpg,53,130,40.76923076923077
5.jpg,40,108,37.03703703703704
40.jpg,16,96,16.666666666666664
12.jpg,0,108,0.0
63.jpg,107,150,71.33333333333334
35.jpg,47,128,36.71875
66.jpg,54,150,36.0
38.jpg,19,128,14.84375
61.jpg,63,96,65.625
33.jpg,102,150,68.0
56.jpg,107,130,82.3076923076923
28.jpg,55,96,57.291666666666664
59.jpg,94,130,72.3076923076923
9.jpg,0,143,0.0
31.jpg,56,96,58.333333333333336
54.jpg,146,150,97.33333333333334
26.jpg,89,128,69.53125
57.jpg,137,150,91.33333333333333
29.jpg,87,128,67.96875
3.jpg,73,143,51.048951048951054
average,,,49.97645635921512
