image_name,sam2_masks,gt_masks,correctly_identified (%)
80.jpg,53,130,40.76923076923077
52.jpg,50,96,52.083333333333336
24.jpg,87,150,57.99999999999999
75.jpg,49,150,32.666666666666664
78.jpg,57,150,38.0
50.jpg,90,130,69.23076923076923
22.jpg,29,78,37.17948717948718
73.jpg,25,78,32.05128205128205
45.jpg,101,150,67.33333333333333
17.jpg,71,128,55.46875
76.jpg,25,78,32.05128205128205
48.jpg,104,150,69.33333333333334
6.jpg,14,143,9.79020979020979
71.jpg,39,130,30.0
43.jpg,7,96,7.291666666666667
15.jpg,0,108,0.0
69.jpg,0,150,0.0
1.jpg,30,72,41.66666666666667
10.jpg,11,72,15.277777777777779
41.jpg,2,128,1.5625
13.jpg,0,24,0.0
64.jpg,36,96,37.5
36.jpg,18,150,12.0
67.jpg,23,96,23.958333333333336
39.jpg,0,150,0.0
62.jpg,54,130,41.53846153846154
34.jpg,34,96,35.41666666666667
4.jpg,29,72,40.27777777777778
60.jpg,79,150,52.666666666666664
32.jpg,53,128,41.40625
55.jpg,52,96,54.166666666666664
27.jpg,95,150,63.33333333333333
58.jpg,54,96,56.25
30.jpg,77,150,51.33333333333333
81.jpg,51,150,34.0
53.jpg,83,130,63.84615384615384
25.jpg,40,96,41.66666666666667
79.jpg,27,96,28.125
7.jpg,24,72,33.33333333333333
8.jpg,2,108,1.8518518518518516
20.jpg,72,128,56.25
51.jpg,115,150,76.66666666666667
23.jpg,43,128,33.59375
74.jpg,41,130,31.538461538461537
46.jpg,38,87,43.67816091954023
18.jpg,83,150,55.333333333333336
77.jpg,46,130,35.38461538461539
49.jpg,38,87,43.67816091954023
2.jpg,37,114,32.45614035087719
21.jpg,92,150,61.33333333333333
72.jpg,50,150,33.33333333333333
44.jpg,84,130,64.61538461538461
16.jpg,0,60,0.0
47.jpg,81,130,62.30769230769231
19.jpg,32,78,41.02564102564102
11.jpg,0,108,0.0
70.jpg,19,96,19.791666666666664
42.jpg,0,150,0.0
14.jpg,0,72,0.0
65.jpg,15,130,11.538461538461538
37.jpg,26,96,27.083333333333332
68.jpg,14,130,10.76923076923077
5.jpg,23,108,21.296296296296298
40.jpg,9,96,9.375
12.jpg,0,108,0.0
63.jpg,61,150,40.666666666666664
35.jpg,24,128,18.75
66.jpg,2,150,1.3333333333333335
38.jpg,3,128,2.34375
61.jpg,43,96,44.79166666666667
33.jpg,61,150,40.666666666666664
56.jpg,81,130,62.30769230769231
28.jpg,42,96,43.75
59.jpg,71,130,54.61538461538461
9.jpg,0,143,0.0
31.jpg,44,96,45.83333333333333
54.jpg,117,150,78.0
26.jpg,72,128,56.25
57.jpg,95,150,63.33333333333333
29.jpg,70,128,54.6875
3.jpg,43,143,30.069930069930066
average,,,34.70215682950246
