image_name,sam2_masks,gt_masks,correctly_identified (%)
80.jpg,32,130,24.615384615384617
52.jpg,47,96,48.95833333333333
24.jpg,57,150,38.0
75.jpg,19,150,12.666666666666668
78.jpg,16,150,10.666666666666668
50.jpg,81,130,62.30769230769231
22.jpg,28,78,35.8974358974359
73.jpg,25,78,32.05128205128205
45.jpg,112,150,74.66666666666667
17.jpg,40,128,31.25
76.jpg,24,78,30.76923076923077
48.jpg,105,150,70.0
6.jpg,13,143,9.090909090909092
71.jpg,24,130,18.461538461538463
43.jpg,5,96,5.208333333333334
15.jpg,0,108,0.0
69.jpg,4,150,2.666666666666667
1.jpg,23,72,31.944444444444443
10.jpg,17,72,23.61111111111111
41.jpg,4,128,3.125
13.jpg,0,24,0.0
64.jpg,36,96,37.5
36.jpg,11,150,7.333333333333333
67.jpg,22,96,22.916666666666664
39.jpg,1,150,0.6666666666666667
62.jpg,50,130,38.46153846153847
34.jpg,30,96,31.25
4.jpg,23,72,31.944444444444443
60.jpg,89,150,59.333333333333336
32.jpg,36,128,28.125
55.jpg,52,96,54.166666666666664
27.jpg,53,150,35.333333333333336
58.jpg,46,96,47.91666666666667
30.jpg,45,150,30.0
81.jpg,9,150,6.0
53.jpg,76,130,58.46153846153847
25.jpg,31,96,32.29166666666667
79.jpg,23,96,23.958333333333336
7.jpg,23,72,31.944444444444443
8.jpg,6,108,5.555555555555555
20.jpg,46,128,35.9375
51.jpg,101,150,67.33333333333333
23.jpg,31,128,24.21875
74.jpg,28,130,21.53846153846154
46.jpg,42,87,48.275862068965516
18.jpg,43,150,28.666666666666668
77.jpg,30,130,23.076923076923077
49.jpg,37,87,42.5287356321839
2.jpg,22,114,19.298245614035086
21.jpg,54,150,36.0
72.jpg,13,150,8.666666666666668
44.jpg,70,130,53.84615384615385
16.jpg,0,60,0.0
47.jpg,79,130,60.76923076923077
19.jpg,29,78,37.17948717948718
11.jpg,0,108,0.0
70.jpg,21,96,21.875
42.jpg,0,150,0.0
14.jpg,0,72,0.0
65.jpg,24,130,18.461538461538463
37.jpg,27,96,28.125
68.jpg,31,130,23.846153846153847
5.jpg,20,108,18.51851851851852
40.jpg,9,96,9.375
12.jpg,0,108,0.0
63.jpg,55,150,36.666666666666664
35.jpg,22,128,17.1875
66.jpg,11,150,7.333333333333333
38.jpg,7,128,5.46875
61.jpg,46,96,47.91666666666667
33.jpg,46,150,30.666666666666664
56.jpg,58,130,44.61538461538462
28.jpg,33,96,34.375
59.jpg,66,130,50.76923076923077
9.jpg,0,143,0.0
31.jpg,35,96,36.45833333333333
54.jpg,110,150,73.33333333333333
26.jpg,42,128,32.8125
57.jpg,109,150,72.66666666666667
29.jpg,37,128,28.90625
3.jpg,20,143,13.986013986013987
average,,,28.516247819409436
